Time;Channel A;Channel B
(ms);(mV);(V)

-250,19431114;0,03051851;-0,00042726
-250,03047114;0,03051851;-0,00042726
-249,86663114;0,03051851;-0,00042726
-249,70279114;0,03051851;-0,00042726
-249,53895115;0,03051851;-0,00042726
-249,37511115;0,03051851;-0,00042726
-249,21127115;0,03051851;-0,00042726
-249,04743115;0,03051851;-0,00042726
-248,88359115;0,03051851;-0,00042726
-248,71975115;0,03051851;-0,00042726
-248,55591115;0,03051851;-0,00042726
-248,39207115;0,03051851;-0,00042726
-248,22823115;0,03051851;-0,00042726
-248,06439115;0,03051851;-0,00042726
-247,90055116;4,42518400;-0,00042726
-247,73671116;0,03051851;-0,00042726
-247,57287116;0,03051851;-0,00042726
-247,40903116;0,03051851;0,01727348
-247,24519116;0,03051851;-0,00042726
-247,08135116;0,03051851;0,01727348
-246,91751116;0,03051851;-0,00042726
-246,75367116;0,03051851;-0,00042726
-246,58983116;0,03051851;0,01727348
-246,42599116;0,03051851;-0,00042726
-246,26215117;0,03051851;-0,00042726
-246,09831117;0,03051851;-0,00042726
-245,93447117;0,03051851;-0,00042726
-245,77063117;0,03051851;-0,00042726
-245,60679117;0,03051851;-0,00042726
-245,44295117;0,03051851;-0,00042726
-245,27911117;0,03051851;-0,00042726
-245,11527117;0,03051851;-0,00042726
-244,95143117;0,03051851;0,01727348
-244,78759117;0,03051851;-0,00042726
-244,62375118;0,03051851;-0,00042726
-244,45991118;0,03051851;-0,00042726
-244,29607118;0,03051851;-0,00042726
-244,13223118;0,03051851;-0,00042726
-243,96839118;0,03051851;-0,00042726
-243,80455118;0,03051851;-0,00042726
-243,64071118;0,03051851;-0,00042726
-243,47687118;0,03051851;-0,00042726
-243,31303118;0,03051851;-0,00042726
-243,14919118;0,03051851;-0,00042726
-242,98535119;0,03051851;-0,00042726
-242,82151119;0,03051851;-0,00042726
-242,65767119;0,03051851;-0,00042726
-242,49383119;0,03051851;-0,00042726
-242,32999119;0,03051851;0,01727348
-242,16615119;0,03051851;-0,00042726
-242,00231119;0,03051851;-0,00042726
-241,83847119;0,03051851;-0,00042726
-241,67463119;0,03051851;-0,00042726
-241,51079119;0,03051851;-0,00042726
-241,34695120;0,03051851;-0,00042726
-241,18311120;0,03051851;-0,00042726
-241,01927120;0,03051851;-0,00042726
-240,85543120;0,03051851;-0,00042726
-240,69159120;0,03051851;-0,00042726
-240,52775120;0,03051851;-0,00042726
-240,36391120;0,03051851;0,01727348
-240,20007120;0,03051851;-0,00042726
-240,03623120;0,03051851;-0,00042726
-239,87239120;0,03051851;-0,00042726
-239,70855121;0,03051851;0,01727348
-239,54471121;0,03051851;-0,00042726
-239,38087121;0,03051851;-0,00042726
-239,21703121;0,03051851;0,01727348
-239,05319121;0,03051851;-0,00042726
-238,88935121;0,03051851;0,01727348
-238,72551121;0,03051851;-0,00042726
-238,56167121;0,03051851;-0,00042726
-238,39783121;0,03051851;-0,00042726
-238,23399121;0,03051851;-0,00042726
-238,07015122;0,03051851;-0,00042726
-237,90631122;0,03051851;-0,00042726
-237,74247122;0,03051851;-0,00042726
-237,57863122;0,03051851;-0,00042726
-237,41479122;0,03051851;-0,00042726
-237,25095122;0,03051851;-0,00042726
-237,08711122;0,03051851;-0,00042726
-236,92327122;0,03051851;-0,00042726
-236,75943122;0,03051851;-0,00042726
-236,59559122;0,03051851;-0,00042726
-236,43175123;0,03051851;-0,00042726
-236,26791123;0,03051851;-0,00042726
-236,10407123;0,03051851;-0,00042726
-235,94023123;0,03051851;-0,00042726
-235,77639123;0,03051851;-0,00042726
-235,61255123;0,03051851;-0,00042726
-235,44871123;0,03051851;-0,00042726
-235,28487123;0,03051851;-0,00042726
-235,12103123;0,03051851;-0,00042726
-234,95719123;0,03051851;-0,00042726
-234,79335124;0,03051851;-0,00042726
-234,62951124;0,03051851;-0,00042726
-234,46567124;0,03051851;-0,00042726
-234,30183124;0,03051851;0,01727348
-234,13799124;0,03051851;-0,00042726
-233,97415124;0,03051851;-0,00042726
-233,81031124;0,03051851;0,01727348
-233,64647124;0,03051851;-0,00042726
-233,48263124;0,03051851;-0,00042726
-233,31879124;0,03051851;-0,00042726
-233,15495125;0,03051851;-0,00042726
-232,99111125;0,03051851;-0,00042726
-232,82727125;0,03051851;-0,00042726
-232,66343125;0,03051851;-0,00042726
-232,49959125;0,03051851;-0,00042726
-232,33575125;0,03051851;-0,00042726
-232,17191125;0,03051851;-0,00042726
-232,00807125;0,03051851;-0,00042726
-231,84423125;0,03051851;-0,00042726
-231,68039125;0,03051851;0,01727348
-231,51655126;0,03051851;-0,00042726
-231,35271126;0,03051851;-0,00042726
-231,18887126;0,03051851;-0,00042726
-231,02503126;0,03051851;-0,00042726
-230,86119126;0,03051851;-0,00042726
-230,69735126;0,03051851;-0,00042726
-230,53351126;0,03051851;-0,00042726
-230,36967126;0,03051851;-0,00042726
-230,20583126;0,03051851;-0,00042726
-230,04199126;0,03051851;-0,00042726
-229,87815127;0,03051851;-0,00042726
-229,71431127;0,03051851;-0,00042726
-229,55047127;0,03051851;-0,00042726
-229,38663127;0,03051851;-0,00042726
-229,22279127;0,03051851;-0,00042726
-229,05895127;0,03051851;-0,00042726
-228,89511127;0,03051851;-0,00042726
-228,73127127;0,03051851;-0,00042726
-228,56743127;0,03051851;-0,00042726
-228,40359127;0,03051851;-0,00042726
-228,23975128;0,03051851;-0,00042726
-228,07591128;0,03051851;-0,00042726
-227,91207128;0,03051851;-0,00042726
-227,74823128;0,03051851;-0,00042726
-227,58439128;0,03051851;-0,00042726
-227,42055128;0,03051851;-0,00042726
-227,25671128;0,03051851;-0,00042726
-227,09287128;0,03051851;-0,00042726
-226,92903128;0,03051851;-0,00042726
-226,76519128;0,03051851;-0,00042726
-226,60135129;0,03051851;-0,00042726
-226,43751129;0,03051851;-0,00042726
-226,27367129;0,03051851;-0,00042726
-226,10983129;0,03051851;-0,00042726
-225,94599129;0,03051851;-0,00042726
-225,78215129;0,03051851;-0,00042726
-225,61831129;0,03051851;-0,00042726
-225,45447129;0,03051851;-0,00042726
-225,29063129;0,03051851;-0,00042726
-225,12679129;0,03051851;-0,00042726
-224,96295130;0,03051851;-0,00042726
-224,79911130;0,03051851;-0,00042726
-224,63527130;0,03051851;-0,00042726
-224,47143130;0,03051851;-0,00042726
