Time;Channel A;Channel B
(ms);(mV);(V)

-250,18614531;0,03051851;-0,00042726
-250,02230531;0,03051851;-0,00042726
-249,85846531;0,03051851;0,01727348
-249,69462531;0,03051851;-0,00042726
-249,53078531;0,03051851;-0,00042726
-249,36694531;0,03051851;-0,00042726
-249,20310531;0,03051851;-0,00042726
-249,03926531;0,03051851;-0,00042726
-248,87542531;0,03051851;-0,00042726
-248,71158531;0,03051851;-0,00042726
-248,54774532;0,03051851;-0,00042726
-248,38390532;0,03051851;-0,00042726
-248,22006532;0,03051851;-0,00042726
-248,05622532;0,03051851;-0,00042726
-247,89238532;0,03051851;-0,00042726
-247,72854532;0,03051851;-0,00042726
-247,56470532;0,03051851;-0,00042726
-247,40086532;0,03051851;-0,00042726
-247,23702532;0,03051851;-0,00042726
-247,07318532;0,03051851;-0,00042726
-246,90934533;0,03051851;-0,00042726
-246,74550533;0,03051851;-0,00042726
-246,58166533;0,03051851;-0,00042726
-246,41782533;0,03051851;-0,00042726
-246,25398533;0,03051851;-0,00042726
-246,09014533;0,03051851;-0,00042726
-245,92630533;0,03051851;0,01727348
-245,76246533;0,03051851;-0,00042726
-245,59862533;0,03051851;-0,00042726
-245,43478533;0,03051851;-0,00042726
-245,27094534;0,03051851;-0,00042726
-245,10710534;0,03051851;-0,00042726
-244,94326534;0,03051851;0,01727348
-244,77942534;0,03051851;-0,00042726
-244,61558534;0,03051851;-0,00042726
-244,45174534;0,03051851;-0,00042726
-244,28790534;-4,36414700;-0,00042726
-244,12406534;-4,36414700;-0,00042726
-243,96022534;0,03051851;-0,00042726
-243,79638534;0,03051851;-0,00042726
-243,63254535;0,03051851;-0,00042726
-243,46870535;0,03051851;-0,00042726
-243,30486535;0,03051851;0,01727348
-243,14102535;0,03051851;-0,00042726
-242,97718535;0,03051851;-0,00042726
-242,81334535;0,03051851;-0,00042726
-242,64950535;0,03051851;-0,00042726
-242,48566535;0,03051851;-0,00042726
-242,32182535;0,03051851;-0,00042726
-242,15798535;0,03051851;-0,00042726
-241,99414536;0,03051851;-0,00042726
-241,83030536;0,03051851;-0,00042726
-241,66646536;0,03051851;-0,00042726
-241,50262536;0,03051851;-0,00042726
-241,33878536;0,03051851;-0,00042726
-241,17494536;0,03051851;-0,00042726
-241,01110536;0,03051851;-0,00042726
-240,84726536;0,03051851;-0,00042726
-240,68342536;0,03051851;-0,00042726
-240,51958536;0,03051851;-0,00042726
-240,35574537;0,03051851;-0,00042726
-240,19190537;0,03051851;-0,00042726
-240,02806537;0,03051851;-0,00042726
-239,86422537;0,03051851;-0,00042726
-239,70038537;0,03051851;-0,00042726
-239,53654537;0,03051851;-0,00042726
-239,37270537;0,03051851;-0,00042726
-239,20886537;0,03051851;-0,00042726
-239,04502537;0,03051851;-0,00042726
-238,88118537;0,03051851;-0,00042726
-238,71734538;0,03051851;-0,00042726
-238,55350538;0,03051851;-0,00042726
-238,38966538;0,03051851;-0,00042726
-238,22582538;0,03051851;-0,00042726
-238,06198538;0,03051851;-0,00042726
-237,89814538;0,03051851;-0,00042726
-237,73430538;0,03051851;-0,00042726
-237,57046538;-4,36414700;-0,00042726
-237,40662538;0,03051851;0,01727348
-237,24278538;0,03051851;0,01727348
-237,07894539;0,03051851;-0,00042726
-236,91510539;0,03051851;-0,00042726
-236,75126539;0,03051851;-0,00042726
-236,58742539;0,03051851;-0,00042726
-236,42358539;0,03051851;-0,00042726
-236,25974539;0,03051851;-0,00042726
-236,09590539;0,03051851;-0,00042726
-235,93206539;0,03051851;-0,00042726
-235,76822539;0,03051851;-0,00042726
-235,60438539;0,03051851;-0,00042726
-235,44054540;0,03051851;-0,00042726
-235,27670540;0,03051851;0,01727348
-235,11286540;0,03051851;-0,00042726
-234,94902540;0,03051851;-0,00042726
-234,78518540;0,03051851;-0,00042726
-234,62134540;0,03051851;-0,00042726
-234,45750540;0,03051851;0,01727348
-234,29366540;0,03051851;-0,00042726
-234,12982540;0,03051851;-0,00042726
-233,96598540;0,03051851;-0,00042726
-233,80214541;0,03051851;-0,00042726
-233,63830541;0,03051851;-0,00042726
-233,47446541;0,03051851;-0,00042726
-233,31062541;0,03051851;-0,00042726
-233,14678541;0,03051851;-0,00042726
-232,98294541;0,03051851;-0,00042726
-232,81910541;0,03051851;-0,00042726
-232,65526541;0,03051851;-0,00042726
-232,49142541;0,03051851;-0,00042726
-232,32758541;0,03051851;-0,00042726
-232,16374542;0,03051851;0,01727348
-231,99990542;0,03051851;-0,00042726
-231,83606542;0,03051851;-0,00042726
-231,67222542;0,03051851;-0,00042726
-231,50838542;0,03051851;-0,00042726
-231,34454542;0,03051851;-0,00042726
-231,18070542;0,03051851;-0,00042726
-231,01686542;0,03051851;-0,00042726
-230,85302542;0,03051851;-0,00042726
-230,68918542;0,03051851;-0,00042726
-230,52534543;0,03051851;0,01727348
-230,36150543;0,03051851;-0,00042726
-230,19766543;0,03051851;-0,00042726
-230,03382543;0,03051851;-0,00042726
-229,86998543;0,03051851;-0,00042726
-229,70614543;0,03051851;-0,00042726
-229,54230543;0,03051851;-0,00042726
-229,37846543;0,03051851;-0,00042726
-229,21462543;0,03051851;-0,00042726
-229,05078543;0,03051851;-0,00042726
-228,88694544;0,03051851;-0,00042726
-228,72310544;0,03051851;-0,00042726
-228,55926544;0,03051851;0,01727348
-228,39542544;0,03051851;-0,00042726
-228,23158544;0,03051851;-0,00042726
-228,06774544;0,03051851;-0,00042726
-227,90390544;0,03051851;-0,00042726
-227,74006544;0,03051851;-0,00042726
-227,57622544;0,03051851;0,01727348
-227,41238544;0,03051851;-0,00042726
-227,24854545;0,03051851;-0,00042726
-227,08470545;0,03051851;-0,00042726
-226,92086545;0,03051851;-0,00042726
-226,75702545;0,03051851;-0,00042726
-226,59318545;0,03051851;-0,00042726
-226,42934545;0,03051851;-0,00042726
-226,26550545;0,03051851;-0,00042726
-226,10166545;0,03051851;0,01727348
-225,93782545;0,03051851;-0,00042726
-225,77398545;0,03051851;-0,00042726
-225,61014545;0,03051851;-0,00042726
-225,44630546;0,03051851;0,01727348
-225,28246546;0,03051851;-0,00042726
-225,11862546;0,03051851;-0,00042726
-224,95478546;0,03051851;-0,00042726
-224,79094546;0,03051851;-0,00042726
-224,62710546;0,03051851;-0,00042726
-224,46326546;0,03051851;-0,00042726
