Time;Channel A;Channel B
(ms);(mV);(V)

-250,20426512;0,03051851;0,01727348
-250,04042512;0,03051851;-0,00042726
-249,87658512;0,03051851;-0,00042726
-249,71274512;0,03051851;-0,00042726
-249,54890512;0,03051851;0,01727348
-249,38506512;0,03051851;-0,00042726
-249,22122512;0,03051851;-0,00042726
-249,05738512;0,03051851;-0,00042726
-248,89354513;0,03051851;-0,00042726
-248,72970513;0,03051851;-0,00042726
-248,56586513;0,03051851;-0,00042726
-248,40202513;0,03051851;-0,00042726
-248,23818513;0,03051851;-0,00042726
-248,07434513;0,03051851;-0,00042726
-247,91050513;0,03051851;-0,00042726
-247,74666513;0,03051851;0,01727348
-247,58282513;0,03051851;-0,00042726
-247,41898513;0,03051851;-0,00042726
-247,25514514;0,03051851;-0,00042726
-247,09130514;0,03051851;-0,00042726
-246,92746514;0,03051851;0,01727348
-246,76362514;0,03051851;-0,00042726
-246,59978514;0,03051851;-0,00042726
-246,43594514;0,03051851;-0,00042726
-246,27210514;0,03051851;-0,00042726
-246,10826514;0,03051851;-0,00042726
-245,94442514;0,03051851;-0,00042726
-245,78058514;0,03051851;-0,00042726
-245,61674515;0,03051851;-0,00042726
-245,45290515;0,03051851;-0,00042726
-245,28906515;0,03051851;-0,00042726
-245,12522515;0,03051851;-0,00042726
-244,96138515;0,03051851;-0,00042726
-244,79754515;0,03051851;-0,00042726
-244,63370515;0,03051851;-0,00042726
-244,46986515;0,03051851;-0,00042726
-244,30602515;0,03051851;-0,00042726
-244,14218515;0,03051851;-0,00042726
-243,97834516;0,03051851;-0,00042726
-243,81450516;-4,36414700;-0,00042726
-243,65066516;0,03051851;-0,00042726
-243,48682516;0,03051851;-0,00042726
-243,32298516;0,03051851;-0,00042726
-243,15914516;0,03051851;-0,00042726
-242,99530516;0,03051851;-0,00042726
-242,83146516;0,03051851;-0,00042726
-242,66762516;0,03051851;0,01727348
-242,50378516;0,03051851;-0,00042726
-242,33994517;0,03051851;-0,00042726
-242,17610517;0,03051851;-0,00042726
-242,01226517;0,03051851;-0,00042726
-241,84842517;0,03051851;-0,00042726
-241,68458517;0,03051851;-0,00042726
-241,52074517;0,03051851;-0,00042726
-241,35690517;0,03051851;-0,00042726
-241,19306517;0,03051851;-0,00042726
-241,02922517;0,03051851;-0,00042726
-240,86538517;0,03051851;-0,00042726
-240,70154518;0,03051851;-0,00042726
-240,53770518;0,03051851;-0,00042726
-240,37386518;0,03051851;-0,00042726
-240,21002518;0,03051851;-0,00042726
-240,04618518;0,03051851;-0,00042726
-239,88234518;0,03051851;-0,00042726
-239,71850518;0,03051851;-0,00042726
-239,55466518;0,03051851;-0,00042726
-239,39082518;0,03051851;-0,00042726
-239,22698518;0,03051851;-0,00042726
-239,06314519;0,03051851;-0,00042726
-238,89930519;0,03051851;-0,00042726
-238,73546519;0,03051851;-0,00042726
-238,57162519;0,03051851;-0,00042726
-238,40778519;0,03051851;-0,00042726
-238,24394519;0,03051851;-0,00042726
-238,08010519;0,03051851;-0,00042726
-237,91626519;0,03051851;-0,00042726
-237,75242519;0,03051851;-0,00042726
-237,58858519;0,03051851;-0,00042726
-237,42474520;0,03051851;-0,00042726
-237,26090520;0,03051851;-0,00042726
-237,09706520;0,03051851;-0,00042726
-236,93322520;0,03051851;-0,00042726
-236,76938520;0,03051851;0,01727348
-236,60554520;0,03051851;0,01727348
-236,44170520;0,03051851;-0,00042726
-236,27786520;0,03051851;-0,00042726
-236,11402520;0,03051851;-0,00042726
-235,95018520;0,03051851;-0,00042726
-235,78634521;0,03051851;-0,00042726
-235,62250521;0,03051851;-0,00042726
-235,45866521;0,03051851;-0,00042726
-235,29482521;0,03051851;-0,00042726
-235,13098521;0,03051851;-0,00042726
-234,96714521;0,03051851;-0,00042726
-234,80330521;0,03051851;-0,00042726
-234,63946521;0,03051851;-0,00042726
-234,47562521;0,03051851;-0,00042726
-234,31178521;0,03051851;-0,00042726
-234,14794522;0,03051851;-0,00042726
-233,98410522;0,03051851;-0,00042726
-233,82026522;0,03051851;-0,00042726
-233,65642522;0,03051851;-0,00042726
-233,49258522;0,03051851;-0,00042726
-233,32874522;0,03051851;-0,00042726
-233,16490522;0,03051851;-0,00042726
-233,00106522;0,03051851;-0,00042726
-232,83722522;0,03051851;-0,00042726
-232,67338522;0,03051851;-0,00042726
-232,50954523;0,03051851;-0,00042726
-232,34570523;0,03051851;-0,00042726
-232,18186523;0,03051851;-0,00042726
-232,01802523;0,03051851;-0,00042726
-231,85418523;0,03051851;-0,00042726
-231,69034523;0,03051851;-0,00042726
-231,52650523;0,03051851;-0,00042726
-231,36266523;0,03051851;-0,00042726
-231,19882523;0,03051851;-0,00042726
-231,03498523;0,03051851;-0,00042726
-230,87114524;0,03051851;-0,00042726
-230,70730524;0,03051851;-0,00042726
-230,54346524;0,03051851;-0,00042726
-230,37962524;0,03051851;-0,00042726
-230,21578524;0,03051851;-0,00042726
-230,05194524;0,03051851;-0,00042726
-229,88810524;0,03051851;0,01727348
-229,72426524;0,03051851;-0,00042726
-229,56042524;0,03051851;-0,00042726
-229,39658524;0,03051851;-0,00042726
-229,23274525;0,03051851;-0,00042726
-229,06890525;0,03051851;-0,00042726
-228,90506525;0,03051851;0,01727348
-228,74122525;0,03051851;-0,00042726
-228,57738525;0,03051851;-0,00042726
-228,41354525;0,03051851;-0,00042726
-228,24970525;0,03051851;0,01727348
-228,08586525;0,03051851;-0,00042726
-227,92202525;0,03051851;-0,00042726
-227,75818525;0,03051851;-0,00042726
-227,59434526;0,03051851;-0,00042726
-227,43050526;0,03051851;-0,00042726
-227,26666526;0,03051851;-0,00042726
-227,10282526;0,03051851;-0,00042726
-226,93898526;0,03051851;-0,00042726
-226,77514526;0,03051851;-0,00042726
-226,61130526;0,03051851;-0,00042726
-226,44746526;0,03051851;0,01727348
-226,28362526;0,03051851;0,01727348
-226,11978526;0,03051851;-0,00042726
-225,95594527;0,03051851;-0,00042726
-225,79210527;0,03051851;-0,00042726
-225,62826527;0,03051851;-0,00042726
-225,46442527;0,03051851;-0,00042726
-225,30058527;0,03051851;-0,00042726
-225,13674527;0,03051851;-0,00042726
-224,97290527;0,03051851;-0,00042726
-224,80906527;0,03051851;-0,00042726
-224,64522527;0,03051851;-0,00042726
-224,48138527;0,03051851;-0,00042726
