Time;Channel A;Channel B
(ms);(mV);(V)

-250,26679039;0,03051851;-0,00042726
-250,10295039;0,03051851;-0,00042726
-249,93911039;0,03051851;-0,00042726
-249,77527039;0,03051851;-0,00042726
-249,61143039;0,03051851;-0,00042726
-249,44759039;0,03051851;-0,00042726
-249,28375040;0,03051851;-0,00042726
-249,11991040;0,03051851;-0,00042726
-248,95607040;0,03051851;-0,00042726
-248,79223040;0,03051851;-0,00042726
-248,62839040;0,03051851;-0,00042726
-248,46455040;0,03051851;-0,00042726
-248,30071040;0,03051851;-0,00042726
-248,13687040;0,03051851;-0,00042726
-247,97303040;0,03051851;-0,00042726
-247,80919040;0,03051851;-0,00042726
-247,64535041;0,03051851;-0,00042726
-247,48151041;0,03051851;-0,00042726
-247,31767041;0,03051851;-0,00042726
-247,15383041;0,03051851;-0,00042726
-246,98999041;0,03051851;-0,00042726
-246,82615041;0,03051851;-0,00042726
-246,66231041;0,03051851;-0,00042726
-246,49847041;0,03051851;0,01727348
-246,33463041;0,03051851;-0,00042726
-246,17079041;0,03051851;-0,00042726
-246,00695042;0,03051851;-0,00042726
-245,84311042;0,03051851;-0,00042726
-245,67927042;0,03051851;-0,00042726
-245,51543042;0,03051851;-0,00042726
-245,35159042;0,03051851;-0,00042726
-245,18775042;0,03051851;-0,00042726
-245,02391042;0,03051851;-0,00042726
-244,86007042;0,03051851;-0,00042726
-244,69623042;0,03051851;-0,00042726
-244,53239042;0,03051851;-0,00042726
-244,36855043;0,03051851;-0,00042726
-244,20471043;0,03051851;-0,00042726
-244,04087043;0,03051851;-0,00042726
-243,87703043;0,03051851;-0,00042726
-243,71319043;-4,36414700;-0,00042726
-243,54935043;0,03051851;0,01727348
-243,38551043;0,03051851;-0,00042726
-243,22167043;0,03051851;-0,00042726
-243,05783043;0,03051851;0,01727348
-242,89399043;0,03051851;-0,00042726
-242,73015044;0,03051851;-0,00042726
-242,56631044;0,03051851;-0,00042726
-242,40247044;0,03051851;-0,00042726
-242,23863044;0,03051851;-0,00042726
-242,07479044;0,03051851;-0,00042726
-241,91095044;0,03051851;-0,00042726
-241,74711044;0,03051851;-0,00042726
-241,58327044;0,03051851;-0,00042726
-241,41943044;0,03051851;-0,00042726
-241,25559044;0,03051851;-0,00042726
-241,09175045;0,03051851;-0,00042726
-240,92791045;0,03051851;-0,00042726
-240,76407045;0,03051851;-0,00042726
-240,60023045;0,03051851;-0,00042726
-240,43639045;0,03051851;-0,00042726
-240,27255045;0,03051851;-0,00042726
-240,10871045;0,03051851;-0,00042726
-239,94487045;0,03051851;-0,00042726
-239,78103045;0,03051851;-0,00042726
-239,61719045;0,03051851;-0,00042726
-239,45335046;0,03051851;0,01727348
-239,28951046;0,03051851;-0,00042726
-239,12567046;0,03051851;-0,00042726
-238,96183046;0,03051851;-0,00042726
-238,79799046;0,03051851;-0,00042726
-238,63415046;0,03051851;0,01727348
-238,47031046;0,03051851;-0,00042726
-238,30647046;0,03051851;-0,00042726
-238,14263046;0,03051851;-0,00042726
-237,97879046;0,03051851;-0,00042726
-237,81495047;0,03051851;-0,00042726
-237,65111047;0,03051851;-0,00042726
-237,48727047;0,03051851;-0,00042726
-237,32343047;0,03051851;-0,00042726
-237,15959047;0,03051851;-0,00042726
-236,99575047;0,03051851;0,01727348
-236,83191047;0,03051851;0,01727348
-236,66807047;0,03051851;-0,00042726
-236,50423047;0,03051851;-0,00042726
-236,34039047;0,03051851;-0,00042726
-236,17655048;0,03051851;-0,00042726
-236,01271048;0,03051851;-0,00042726
-235,84887048;0,03051851;-0,00042726
-235,68503048;0,03051851;-0,00042726
-235,52119048;0,03051851;-0,00042726
-235,35735048;-4,36414700;-0,00042726
-235,19351048;0,03051851;-0,00042726
-235,02967048;0,03051851;-0,00042726
-234,86583048;0,03051851;-0,00042726
-234,70199048;0,03051851;-0,00042726
-234,53815049;0,03051851;-0,00042726
-234,37431049;0,03051851;-0,00042726
-234,21047049;0,03051851;-0,00042726
-234,04663049;0,03051851;0,01727348
-233,88279049;0,03051851;-0,00042726
-233,71895049;0,03051851;-0,00042726
-233,55511049;0,03051851;-0,00042726
-233,39127049;0,03051851;-0,00042726
-233,22743049;0,03051851;-0,00042726
-233,06359049;0,03051851;-0,00042726
-232,89975050;0,03051851;-0,00042726
-232,73591050;0,03051851;-0,00042726
-232,57207050;0,03051851;-0,00042726
-232,40823050;0,03051851;-0,00042726
-232,24439050;0,03051851;-0,00042726
-232,08055050;0,03051851;-0,00042726
-231,91671050;0,03051851;-0,00042726
-231,75287050;0,03051851;-0,00042726
-231,58903050;0,03051851;-0,00042726
-231,42519050;0,03051851;-0,00042726
-231,26135051;0,03051851;-0,00042726
-231,09751051;0,03051851;-0,00042726
-230,93367051;0,03051851;-0,00042726
-230,76983051;0,03051851;-0,00042726
-230,60599051;0,03051851;-0,00042726
-230,44215051;0,03051851;-0,00042726
-230,27831051;0,03051851;-0,00042726
-230,11447051;0,03051851;-0,00042726
-229,95063051;0,03051851;-0,00042726
-229,78679051;0,03051851;-0,00042726
-229,62295052;0,03051851;-0,00042726
-229,45911052;0,03051851;-0,00042726
-229,29527052;0,03051851;-0,00042726
-229,13143052;0,03051851;-0,00042726
-228,96759052;0,03051851;-0,00042726
-228,80375052;0,03051851;-0,00042726
-228,63991052;0,03051851;-0,00042726
-228,47607052;0,03051851;-0,00042726
-228,31223052;0,03051851;-0,00042726
-228,14839052;0,03051851;-0,00042726
-227,98455053;0,03051851;-0,00042726
-227,82071053;0,03051851;-0,00042726
-227,65687053;0,03051851;-0,00042726
-227,49303053;0,03051851;-0,00042726
-227,32919053;0,03051851;-0,00042726
-227,16535053;0,03051851;-0,00042726
-227,00151053;0,03051851;-0,00042726
-226,83767053;0,03051851;-0,00042726
-226,67383053;0,03051851;0,01727348
-226,50999053;0,03051851;-0,00042726
-226,34615054;0,03051851;-0,00042726
-226,18231054;0,03051851;-0,00042726
-226,01847054;0,03051851;-0,00042726
-225,85463054;0,03051851;-0,00042726
-225,69079054;0,03051851;-0,00042726
-225,52695054;0,03051851;-0,00042726
-225,36311054;0,03051851;-0,00042726
-225,19927054;0,03051851;-0,00042726
-225,03543054;-4,36414700;0,01727348
-224,87159054;0,03051851;-0,00042726
-224,70775055;0,03051851;-0,00042726
