Time;Channel A;Channel B
(ms);(mV);(V)

-250,24935603;0,03051851;-0,00042726
-250,08551603;0,03051851;-0,00042726
-249,92167603;0,03051851;-0,00042726
-249,75783603;0,03051851;-0,00042726
-249,59399604;0,03051851;-0,00042726
-249,43015604;0,03051851;-0,00042726
-249,26631604;0,03051851;-0,00042726
-249,10247604;0,03051851;-0,00042726
-248,93863604;0,03051851;0,01727348
-248,77479604;0,03051851;-0,00042726
-248,61095604;0,03051851;-0,00042726
-248,44711604;0,03051851;-0,00042726
-248,28327604;0,03051851;-0,00042726
-248,11943604;0,03051851;-0,00042726
-247,95559605;0,03051851;-0,00042726
-247,79175605;0,03051851;-0,00042726
-247,62791605;0,03051851;-0,00042726
-247,46407605;0,03051851;-0,00042726
-247,30023605;0,03051851;-0,00042726
-247,13639605;0,03051851;-0,00042726
-246,97255605;0,03051851;-0,00042726
-246,80871605;0,03051851;-0,00042726
-246,64487605;0,03051851;-0,00042726
-246,48103605;0,03051851;-0,00042726
-246,31719606;0,03051851;-0,00042726
-246,15335606;0,03051851;-0,00042726
-245,98951606;0,03051851;-0,00042726
-245,82567606;0,03051851;-0,00042726
-245,66183606;0,03051851;-0,00042726
-245,49799606;0,03051851;-0,00042726
-245,33415606;0,03051851;-0,00042726
-245,17031606;0,03051851;-0,00042726
-245,00647606;0,03051851;-0,00042726
-244,84263606;0,03051851;-0,00042726
-244,67879607;0,03051851;-0,00042726
-244,51495607;0,03051851;-0,00042726
-244,35111607;0,03051851;-0,00042726
-244,18727607;0,03051851;0,01727348
-244,02343607;0,03051851;-0,00042726
-243,85959607;0,03051851;-0,00042726
-243,69575607;0,03051851;-0,00042726
-243,53191607;0,03051851;-0,00042726
-243,36807607;0,03051851;-0,00042726
-243,20423607;0,03051851;-0,00042726
-243,04039608;0,03051851;-0,00042726
-242,87655608;0,03051851;-0,00042726
-242,71271608;0,03051851;-0,00042726
-242,54887608;0,03051851;-0,00042726
-242,38503608;0,03051851;-0,00042726
-242,22119608;0,03051851;-0,00042726
-242,05735608;0,03051851;-0,00042726
-241,89351608;0,03051851;-0,00042726
-241,72967608;0,03051851;-0,00042726
-241,56583608;0,03051851;-0,00042726
-241,40199609;0,03051851;-0,00042726
-241,23815609;0,03051851;-0,00042726
-241,07431609;0,03051851;-0,00042726
-240,91047609;0,03051851;-0,00042726
-240,74663609;0,03051851;-0,00042726
-240,58279609;0,03051851;-0,00042726
-240,41895609;0,03051851;-0,00042726
-240,25511609;0,03051851;-0,00042726
-240,09127609;0,03051851;-0,00042726
-239,92743609;0,03051851;-0,00042726
-239,76359610;0,03051851;-0,00042726
-239,59975610;0,03051851;-0,00042726
-239,43591610;0,03051851;-0,00042726
-239,27207610;0,03051851;-0,00042726
-239,10823610;0,03051851;-0,00042726
-238,94439610;0,03051851;-0,00042726
-238,78055610;0,03051851;-0,00042726
-238,61671610;0,03051851;-0,00042726
-238,45287610;0,03051851;-0,00042726
-238,28903610;0,03051851;-0,00042726
-238,12519611;0,03051851;-0,00042726
-237,96135611;0,03051851;-0,00042726
-237,79751611;0,03051851;-0,00042726
-237,63367611;0,03051851;-0,00042726
-237,46983611;0,03051851;-0,00042726
-237,30599611;0,03051851;-0,00042726
-237,14215611;0,03051851;-0,00042726
-236,97831611;0,03051851;-0,00042726
-236,81447611;0,03051851;-0,00042726
-236,65063611;0,03051851;-0,00042726
-236,48679612;0,03051851;-0,00042726
-236,32295612;0,03051851;-0,00042726
-236,15911612;0,03051851;-0,00042726
-235,99527612;0,03051851;-0,00042726
-235,83143612;0,03051851;-0,00042726
-235,66759612;0,03051851;-0,00042726
-235,50375612;0,03051851;-0,00042726
-235,33991612;0,03051851;-0,00042726
-235,17607612;0,03051851;-0,00042726
-235,01223612;0,03051851;-0,00042726
-234,84839613;0,03051851;-0,00042726
-234,68455613;0,03051851;-0,00042726
-234,52071613;0,03051851;-0,00042726
-234,35687613;0,03051851;-0,00042726
-234,19303613;0,03051851;-0,00042726
-234,02919613;0,03051851;-0,00042726
-233,86535613;0,03051851;0,01727348
-233,70151613;0,03051851;-0,00042726
-233,53767613;0,03051851;-0,00042726
-233,37383613;0,03051851;-0,00042726
-233,20999613;0,03051851;-0,00042726
-233,04615614;0,03051851;-0,00042726
-232,88231614;0,03051851;-0,00042726
-232,71847614;0,03051851;-0,00042726
-232,55463614;0,03051851;-0,00042726
-232,39079614;0,03051851;-0,00042726
-232,22695614;0,03051851;-0,00042726
-232,06311614;0,03051851;-0,00042726
-231,89927614;0,03051851;-0,00042726
-231,73543614;0,03051851;0,01727348
-231,57159614;0,03051851;-0,00042726
-231,40775615;0,03051851;-0,00042726
-231,24391615;0,03051851;-0,00042726
-231,08007615;0,03051851;-0,00042726
-230,91623615;0,03051851;-0,00042726
-230,75239615;0,03051851;-0,00042726
-230,58855615;0,03051851;-0,00042726
-230,42471615;0,03051851;-0,00042726
-230,26087615;0,03051851;-0,00042726
-230,09703615;0,03051851;0,01727348
-229,93319615;0,03051851;-0,00042726
-229,76935616;0,03051851;-0,00042726
-229,60551616;0,03051851;-0,00042726
-229,44167616;0,03051851;-0,00042726
-229,27783616;0,03051851;-0,00042726
-229,11399616;0,03051851;-0,00042726
-228,95015616;0,03051851;-0,00042726
-228,78631616;0,03051851;-0,00042726
-228,62247616;0,03051851;-0,00042726
-228,45863616;0,03051851;-0,00042726
-228,29479616;0,03051851;-0,00042726
-228,13095617;4,42518400;-0,00042726
-227,96711617;0,03051851;-0,00042726
-227,80327617;0,03051851;-0,00042726
-227,63943617;0,03051851;-0,00042726
-227,47559617;0,03051851;-0,00042726
-227,31175617;0,03051851;-0,00042726
-227,14791617;0,03051851;-0,00042726
-226,98407617;0,03051851;-0,00042726
-226,82023617;0,03051851;-0,00042726
-226,65639617;0,03051851;-0,00042726
-226,49255618;0,03051851;-0,00042726
-226,32871618;0,03051851;-0,00042726
-226,16487618;0,03051851;-0,00042726
-226,00103618;0,03051851;-0,00042726
-225,83719618;0,03051851;-0,00042726
-225,67335618;0,03051851;-0,00042726
-225,50951618;0,03051851;-0,00042726
-225,34567618;0,03051851;-0,00042726
-225,18183618;0,03051851;-0,00042726
-225,01799618;0,03051851;-0,00042726
-224,85415619;0,03051851;-0,00042726
-224,69031619;0,03051851;-0,00042726
