Time;Channel A;Channel B
(ms);(V);(V)

-500,69504976;0,00003052;-0,00042726
-500,36736976;0,00878933;0,01727348
-500,03968977;0,00003052;-0,00042726
-499,71200977;0,00878933;-0,00042726
-499,38432977;0,00878933;-0,00042726
-499,05664977;0,00878933;-0,00042726
-498,72896977;0,00878933;-0,00042726
-498,40128978;0,00003052;-0,00042726
-498,07360978;0,00878933;-0,00042726
-497,74592978;0,00003052;-0,00042726
-497,41824978;0,00003052;-0,00042726
-497,09056978;0,00003052;-0,00042726
-496,76288979;0,00003052;0,01727348
-496,43520979;0,00878933;-0,00042726
-496,10752979;0,00003052;-0,00042726
-495,77984979;0,00003052;0,01727348
-495,45216979;0,00003052;-0,00042726
-495,12448980;0,00003052;-0,00042726
-494,79680980;0,00003052;-0,00042726
-494,46912980;0,00003052;-0,00042726
-494,14144980;0,00003052;-0,00042726
-493,81376980;0,00878933;0,01727348
-493,48608981;0,00003052;-0,00042726
-493,15840981;0,00878933;0,01727348
-492,83072981;0,00003052;-0,00042726
-492,50304981;0,00878933;-0,00042726
-492,17536981;0,00003052;-0,00042726
-491,84768982;0,00878933;-0,00042726
-491,52000982;0,00003052;0,01727348
-491,19232982;0,00878933;-0,00042726
-490,86464982;0,00003052;-0,00042726
-490,53696982;0,00878933;-0,00042726
-490,20928983;0,00003052;-0,00042726
-489,88160983;0,00003052;-0,00042726
-489,55392983;0,00003052;-0,00042726
-489,22624983;0,00878933;-0,00042726
-488,89856983;0,00878933;-0,00042726
-488,57088984;0,00003052;-0,00042726
-488,24320984;0,00003052;-0,00042726
-487,91552984;0,00003052;-0,00042726
-487,58784984;0,00878933;-0,00042726
-487,26016984;0,00003052;-0,00042726
-486,93248985;0,00878933;-0,00042726
-486,60480985;0,00878933;-0,00042726
-486,27712985;0,00878933;-0,00042726
-485,94944985;0,00878933;-0,00042726
-485,62176985;0,00878933;-0,00042726
-485,29408986;0,00878933;-0,00042726
-484,96640986;0,00003052;-0,00042726
-484,63872986;0,00003052;-0,00042726
-484,31104986;0,00878933;-0,00042726
-483,98336986;0,00878933;0,01727348
-483,65568987;0,00878933;-0,00042726
-483,32800987;0,00003052;-0,00042726
-483,00032987;0,00003052;-0,00042726
-482,67264987;0,00878933;-0,00042726
-482,34496987;0,00003052;-0,00042726
-482,01728988;0,00878933;-0,00042726
-481,68960988;0,00878933;-0,00042726
-481,36192988;0,00003052;-0,00042726
-481,03424988;0,00003052;-0,00042726
-480,70656988;0,00878933;-0,00042726
-480,37888989;0,00878933;-0,00042726
-480,05120989;0,00003052;-0,00042726
-479,72352989;0,00003052;-0,00042726
-479,39584989;0,00878933;-0,00042726
-479,06816989;0,00003052;-0,00042726
-478,74048990;0,00003052;-0,00042726
-478,41280990;0,00878933;-0,00042726
-478,08512990;0,00003052;-0,00042726
-477,75744990;0,00003052;-0,00042726
-477,42976990;0,00003052;-0,00042726
-477,10208991;0,00003052;-0,00042726
-476,77440991;0,00878933;0,01727348
-476,44672991;0,00003052;-0,00042726
-476,11904991;0,00878933;-0,00042726
-475,79136991;0,00878933;-0,00042726
-475,46368992;0,00878933;-0,00042726
-475,13600992;0,00003052;-0,00042726
-474,80832992;0,00003052;-0,00042726
-474,48064992;0,00878933;-0,00042726
-474,15296992;0,00878933;-0,00042726
-473,82528993;0,00878933;-0,00042726
-473,49760993;0,00003052;-0,00042726
-473,16992993;0,00003052;-0,00042726
-472,84224993;0,00003052;-0,00042726
-472,51456993;0,00003052;-0,00042726
-472,18688994;0,00878933;-0,00042726
-471,85920994;0,00878933;-0,00042726
-471,53152994;0,00003052;-0,00042726
-471,20384994;0,00878933;-0,00042726
-470,87616994;0,00003052;-0,00042726
-470,54848995;0,00003052;-0,00042726
-470,22080995;0,00878933;-0,00042726
-469,89312995;0,00878933;0,01727348
-469,56544995;0,00878933;-0,00042726
-469,23776995;0,00003052;-0,00042726
-468,91008996;0,00003052;-0,00042726
-468,58240996;0,00003052;-0,00042726
-468,25472996;0,00878933;-0,00042726
-467,92704996;0,00003052;-0,00042726
-467,59936996;0,00878933;-0,00042726
-467,27168997;0,00003052;-0,00042726
-466,94400997;0,00878933;-0,00042726
-466,61632997;0,00878933;-0,00042726
-466,28864997;0,00003052;-0,00042726
-465,96096997;0,00003052;-0,00042726
-465,63328998;0,00878933;-0,00042726
-465,30560998;0,00878933;-0,00042726
-464,97792998;0,00878933;-0,00042726
-464,65024998;0,00003052;-0,00042726
-464,32256998;0,00878933;-0,00042726
-463,99488999;0,00003052;-0,00042726
-463,66720999;0,00003052;-0,00042726
