Time;Channel A;Channel B
(ms);(V);(V)

-500,38206577;0,00003052;-0,00042726
-500,05438578;0,00003052;-0,00042726
-499,72670578;0,00003052;-0,00042726
-499,39902578;0,00003052;-0,00042726
-499,07134578;0,00878933;-0,00042726
-498,74366578;0,00878933;-0,00042726
-498,41598578;0,00003052;-0,00042726
-498,08830579;0,00878933;0,01727348
-497,76062579;0,00003052;-0,00042726
-497,43294579;0,00003052;-0,00042726
-497,10526579;0,00003052;-0,00042726
-496,77758579;0,00878933;-0,00042726
-496,44990580;0,00003052;-0,00042726
-496,12222580;0,00003052;-0,00042726
-495,79454580;0,00003052;-0,00042726
-495,46686580;0,00003052;-0,00042726
-495,13918580;0,00003052;-0,00042726
-494,81150581;0,00003052;-0,00042726
-494,48382581;0,00003052;-0,00042726
-494,15614581;0,00003052;-0,00042726
-493,82846581;0,00878933;-0,00042726
-493,50078581;0,00878933;-0,00042726
-493,17310582;0,00878933;-0,00042726
-492,84542582;0,00878933;-0,00042726
-492,51774582;0,00003052;0,01727348
-492,19006582;0,00003052;-0,00042726
-491,86238582;0,00003052;-0,00042726
-491,53470583;0,00003052;-0,00042726
-491,20702583;0,00878933;-0,00042726
-490,87934583;0,00878933;0,01727348
-490,55166583;0,00003052;-0,00042726
-490,22398583;0,00003052;-0,00042726
-489,89630584;0,00003052;-0,00042726
-489,56862584;0,00003052;-0,00042726
-489,24094584;0,00003052;-0,00042726
-488,91326584;0,00003052;-0,00042726
-488,58558584;0,00878933;-0,00042726
-488,25790585;0,00003052;-0,00042726
-487,93022585;0,00003052;-0,00042726
-487,60254585;0,00878933;0,01727348
-487,27486585;0,00003052;-0,00042726
-486,94718585;0,00003052;-0,00042726
-486,61950586;0,00003052;-0,00042726
-486,29182586;0,00003052;-0,00042726
-485,96414586;0,00878933;-0,00042726
-485,63646586;0,00003052;-0,00042726
-485,30878586;0,00878933;-0,00042726
-484,98110587;0,00003052;-0,00042726
-484,65342587;0,00003052;-0,00042726
-484,32574587;0,00003052;-0,00042726
-483,99806587;0,00003052;-0,00042726
-483,67038587;0,00003052;-0,00042726
-483,34270588;0,00878933;0,01727348
-483,01502588;0,00003052;-0,00042726
-482,68734588;0,00003052;-0,00042726
-482,35966588;0,00003052;-0,00042726
-482,03198588;0,00878933;-0,00042726
-481,70430589;0,00003052;-0,00042726
-481,37662589;0,00878933;0,01727348
-481,04894589;0,00878933;-0,00042726
-480,72126589;0,00003052;-0,00042726
-480,39358589;0,00003052;-0,00042726
-480,06590590;0,00878933;-0,00042726
-479,73822590;0,00003052;-0,00042726
-479,41054590;0,00003052;-0,00042726
-479,08286590;0,00878933;-0,00042726
-478,75518590;0,00003052;-0,00042726
-478,42750591;0,00003052;-0,00042726
-478,09982591;0,00878933;-0,00042726
-477,77214591;0,00003052;-0,00042726
-477,44446591;0,00003052;-0,00042726
-477,11678591;0,00878933;-0,00042726
-476,78910592;0,00878933;-0,00042726
-476,46142592;0,00003052;-0,00042726
-476,13374592;0,00878933;-0,00042726
-475,80606592;0,00003052;-0,00042726
-475,47838592;0,00003052;-0,00042726
-475,15070593;0,00003052;-0,00042726
-474,82302593;0,00003052;-0,00042726
-474,49534593;0,00003052;-0,00042726
-474,16766593;0,00003052;-0,00042726
-473,83998593;0,00878933;-0,00042726
-473,51230594;0,00003052;0,01727348
-473,18462594;0,00003052;-0,00042726
-472,85694594;0,00878933;-0,00042726
-472,52926594;0,00003052;-0,00042726
-472,20158594;0,00003052;-0,00042726
-471,87390595;0,00003052;-0,00042726
-471,54622595;0,00003052;-0,00042726
-471,21854595;0,00878933;0,01727348
-470,89086595;0,00878933;-0,00042726
-470,56318595;0,00003052;-0,00042726
-470,23550596;0,00878933;0,01727348
-469,90782596;0,00003052;-0,00042726
-469,58014596;0,00003052;-0,00042726
-469,25246596;0,00878933;-0,00042726
-468,92478596;0,00003052;-0,00042726
-468,59710597;0,00003052;-0,00042726
-468,26942597;0,00878933;-0,00042726
-467,94174597;0,00003052;-0,00042726
-467,61406597;0,00003052;-0,00042726
-467,28638597;0,00003052;-0,00042726
-466,95870598;0,00003052;-0,00042726
-466,63102598;0,00003052;-0,00042726
-466,30334598;0,00878933;-0,00042726
-465,97566598;0,00003052;-0,00042726
-465,64798598;0,00003052;-0,00042726
-465,32030599;0,00003052;-0,00042726
-464,99262599;0,00878933;-0,00042726
-464,66494599;0,00003052;-0,00042726
-464,33726599;0,00003052;0,01727348
-464,00958599;0,00878933;0,01727348
-463,68190600;0,00003052;-0,00042726
-463,35422600;0,00878933;0,01727348
